measured log solubility in mols per litre,molecules
-3.043,Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C
-6.8,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
-2.478,COc1nc(NC(C)C)nc(NC(C)C)n1
-0.73,Cc1ccc(O)cc1
-4.593999999999999,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2
-1.99,N=C(N)NS(=O)(=O)c1ccc(N)cc1
-2.17,CCOc1ccc(NC(N)=O)cc1
-1.28,CNc1ccccc1
-2.39,CSc1ccccc1
-4.73,Oc1c2ccccc2cc2ccccc12
-4.14,Cc1ccc(C)c2ccccc12
-2.696,CCC1(C2=CCC3CCC2C3)C(=O)NC(=O)NC1=O
-2.452,CCCOC(=O)c1ccc(N)cc1
-0.59,CC1CO1
-3.68,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F
-1.989,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-]
-2.35,CC1CCC(C(C)C)C(=O)C1
-4.22,Nc1cccc2nc3ccccc3cc12
-1.99,Oc1ccc2c(c1)CCCC2
-1.52,c1ccc2[nH]ccc2c1
-2.98,CN(C)C(=O)C(c1ccccc1)c1ccccc1
-3.03,CC1=CC(=O)c2ccccc2C1=O
-4.14,Clc1ccc2ccccc2c1
-2.273,O=c1ccnc(S)[nH]1
-3.96,C1=Cc2cccc3cccc1c23
-6.02,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1
-2.7,O=C1C=C2CC3(O)COc4c(ccc(O)c4O)C3=C2C=C1O
-5.233,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21
-3.0,CCOC(=O)C=Cc1ccccc1
-1.29,Cc1cccc(C)c1O
-0.36,Nc1nccs1
-2.19,Nc1cccc([N+](=O)[O-])c1
-2.89,CN(C)C(=O)Nc1ccc(Cl)cc1
-0.96,NC(=O)c1ccccc1
-0.85,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O
-5.89,Cc1c2ccccc2cc2ccccc12
-4.77,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
-2.55,O=[N+]([O-])c1ccccc1Cl
-2.084,CCNc1nc(NC(C)C)nc(OC)n1
-0.74,O=[N+]([O-])c1ccc(O)cc1
-1.3,Oc1cccc(Cl)c1Cl
-4.4110000000000005,CCN(CC)c1nc(Cl)nc(N(CC)CC)n1
-2.55,OC(c1ccccc1)c1ccccc1
-4.445,O=c1oc2ccccc2c(O)c1C(CC(O)c1ccc(-c2ccc(Br)cc2)cc1)c1ccccc1
-2.461,Cc1cc(C(=O)NNCc2ccccc2)no1
-3.31,Cc1ccc(C)c(C)c1
-1.742,CC1(C)C(=O)NC(=O)NC1=O
0.36,Cc1ccncc1C
-3.953,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O
-3.52,Cc1ccccc1Cl
-3.85,CC1CCCCC1
-3.5860000000000003,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
-4.632,CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1
-2.57,CON(C)C(=O)Nc1ccc(Cl)cc1
-2.266,O=c1[nH]cnc2[nH]ncc12
-3.46,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1
-0.7,Oc1cccc(Cl)c1
-8.49,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12
-3.3,Cc1occc1C(=O)Nc1ccccc1
-4.432,COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C
-3.18,C1=CCCCCC1
-4.6,c1ccc2c(c1)oc1ccccc12
-4.0,CCNc1nc(NC(C)(C)C)nc(SC)n1
1.02,Oc1ccncc1
-4.59,Cc1cc(C)c(C)cc1C
-1.64,c1ccccc1
-1.85,CC12CCC(C1)C(C)(C)C2=O
-0.244,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
-3.8,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
-4.871,CCN1c2cc(N(C)C)cc(C)c2NC(=O)c2cccnc21
-3.04,Clc1cccc(Cl)c1
-1.886,O=C1NC(=O)C2(CC2)C(=O)N1
-4.07,Brc1ccc(Br)cc1
-3.08,Cc1ccc(Cl)cc1
-1.827,COC(=O)c1ccc(O)cc1
-3.27,CC(C)c1ccccc1
-1.84,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O
-1.506,Cc1c[nH]c(=O)[nH]c1=O
-3.26,CCc1cccc(CC)c1N(COC)C(=O)CCl
-7.2,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1
-6.51,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
-6.291,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1
-6.025,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C
-4.2,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1
-5.284,CC(=O)OC1(C)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
-5.56,Clc1cc(Cl)c(Cl)cc1Cl
0.38,Cc1cncc(C)c1
-5.46,OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
-1.13,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1
-0.1,O=Cc1ccco1
-5.071000000000001,CCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
-5.47,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-]
0.0,Oc1ccccc1
-3.13,CC=Cc1ccc(OC)cc1
0.61,NC(=O)c1cccnc1
-4.12,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
-6.57,Cc1c2ccccc2c(C)c2ccccc12
-4.749,CCN1c2ccccc2C(=O)N(C)c2ccccc21
-3.638,COc1cc2c(N)nc(N3CCN(C(=O)OCC(C)(C)O)CC3)nc2c(OC)c1OC
-3.03,CCN(CC)c1ccccc1
-1.661,CCCCC1(CC)C(=O)NC(=O)NC1=O
-5.915,O=C(Nc1ccccc1)N(Cc1ccc(Cl)cc1)C1CCCC1
-4.06,CCCCc1ccccc1
-3.27,Clc1ccc(Cl)cc1
-4.7,CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1
-4.862,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1
-1.601,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC
-0.92,CC(O)c1ccccc1
-3.754,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
-1.96,Nc1ccccc1[N+](=O)[O-]
-3.37,CCCc1ccccc1
-2.863,CNC(=O)Oc1ccccc1C(C)C
-2.77,O=[N+]([O-])c1cccc(Cl)c1
-3.3,CC1CCCC1
-3.239,CCNc1nc(NC(C)(C)C)nc(OC)n1
-2.356,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
-2.82,C=Cc1ccccc1
-6.523,CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
-1.655,O=C1NC(=O)C2(CCC2)C(=O)N1
-0.68,Cc1cccc(O)c1
-5.72,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl
-3.224,CNC(=O)Oc1cccc2ccccc12
-2.404,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
-1.96,COc1ccccc1O
-2.39,ClCc1ccccc1
-3.93,Clc1cccc2ccccc12
-2.253,CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O
-3.59,O=C(Nc1ccccc1)c1ccccc1O
-4.522,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl
-2.0,Fc1cccc(F)c1
-3.928,Cc1ccc2c(c1)C(=O)N(C)c1cc(N)ccc1O2
-2.78,COc1ccc(Cl)cc1
-3.24,CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C
-0.62,Cc1ccccc1O
-3.04,c1ccc2c(c1)CCC2
-1.456,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
-0.96,O=Cc1ccc(O)cc1
-2.484,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl
-2.62,CCN1c2ncccc2C(=O)N(C)c2cccnc21
-3.536,CC(C)c1ccc(NC(=O)N(C)C)cc1
-4.207,CCN1c2ncccc2C(=O)Nc2c(C(F)(F)F)cc(C)nc21
-6.89,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1
-1.7,CCNc1ccccc1
-3.451,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
-3.59,CC(=O)N(c1onc(C)c1C)S(=O)c1ccc(N)cc1
-3.59,Clc1ccc(Cl)c(Cl)c1
-6.57,Cc1cc2c3ccccc3ccc2c2ccccc12
-1.4,Cc1cc(C)cc(O)c1
-7.8,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31
-3.48,O=[N+]([O-])c1cccc(Cl)c1Cl
-1.614,C=CCC1(CC)C(=O)NC(=O)NC1=O
-0.8,Nc1ccc(O)cc1
-4.15,C1CCCCCCC1
-4.42,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
-0.77,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1
-2.12,Sc1ccccc1
-3.39,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1
-2.1,C1=CCCC1
0.76,c1ccncc1
0.38,Cc1ccnc(C)c1
-3.68,CCN1C(=O)c2ccccc2Oc2ccccc21
-3.672,CN1C(=O)c2cccnc2Oc2ccccc21
-4.25,CCC1CCCCC1
-3.2,O=[N+]([O-])c1ccc(Cl)c(Cl)c1
-6.34,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O
-2.08,Cc1ccc(C(C)C)cc1O
-1.85,COC(=O)c1ccccc1
-3.324,CCN1c2ccccc2N(C)C(=O)c2cccnc21
-1.66,COC(=O)c1ccccc1C(=O)OC
-3.658,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1
-2.676,CSc1nc(N(C)C)nc(N(C)C)n1
-0.4,OCc1ccccc1
-4.678,CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
-3.604,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
-4.55,CCNc1nc(Cl)nc(NCC)n1
-5.259,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
-5.53,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
-4.02,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12
-0.985,COc1ccccc1OCC(O)COC(N)=O
-6.86,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl
-4.08,c1ccc(Cc2ccccc2)cc1
-4.16,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O
-3.35,CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O
-2.943,COC1=CC2OC3C=CC(O)=CC3C(=O)C2C(O)=C1
-2.596,COc1ccc(C(O)(c2cncnc2)C2CC2)cc1
-4.48,Clc1cc(Cl)cc(Cl)c1
-0.364,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
-4.799,O=C1c2ccccc2Cc2ccccc2N1CCF
-8.402000000000001,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
-2.05,Cc1cc(C)c(O)c(C)c1
0.51,CCc1ccccn1
-3.27,CC1=CCCCC1
-1.19,O=Cc1ccccc1
-0.41,Nc1ccccc1
-4.72,Cc1cc2ccccc2cc1C
-6.6370000000000005,CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C
-4.89,Cc1ccc2cc(C)ccc2c1
-4.13,CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
-4.194,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C
-7.321000000000001,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F
-3.78,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
-4.7,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
-2.338,CC1(C)CON(Cc2ccccc2Cl)C1=O
-2.64,Oc1c(Cl)ccc(Cl)c1Cl
-1.01,O=[N+]([O-])c1cccc(O)c1
-6.49,CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-]
-3.15,Oc1cc(Cl)c(Cl)c(Cl)c1Cl
-4.11,CC1CCCCC1NC(=O)Nc1ccccc1
-4.64,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
-4.29,CCc1ccc2ccccc2c1
-1.74,O=[N+]([O-])c1ccccc1O
-4.0,Clc1cccc(Cl)c1Cl
-2.61,O=C1NC(=O)c2ccccc21
-3.85,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12
-1.92,CN(C)c1ccccc1
-6.59,Cc1cc2ccccc2c2ccc3ccccc3c12
-0.82,c1ccoc1
-1.28,CC(=O)c1ccccc1
-4.4,Brc1ccc2ccccc2c1
-2.41,CC(C)(C)c1ccc(O)cc1
-4.04,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1
-5.84,Cc1ccc2c(ccc3ccccc32)c1
-2.21,Cc1ccccc1
-4.02,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl
-2.59,C1=CCCCC1
-8.003,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
-3.9,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1
-3.76,Clc1cccc(C(Cl)(Cl)Cl)n1
-2.36,CNC(=O)Oc1ccc(N(C)C)c(C)c1
-3.54,O=[N+]([O-])c1cccc2ccccc12
-5.153,CCN1c2cc(OC)cc(C)c2NC(=O)c2cccnc21
-2.67,Fc1cccc(Br)c1
-5.64,ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl
-6.144,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC
-6.08,CCCCCC1CCCC1
-2.218,CN(C)C(=O)NC1CCCCCCC1
0.522,Nc1nc[nH]n1
-3.35,CN(C(=O)NC(C)(C)c1ccccc1)c1ccccc1
-1.49,COc1ccc(C=O)cc1
-1.52,Nc1ccccc1Cl
-3.082,CCCCOC(=O)c1ccc(N)cc1
-3.094,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
-5.23,Cc1c(C)c(C)c(C)c(C)c1C
-5.67,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
-2.59,CCCCCCc1ccc(O)cc1O
-2.85,O=C(c1ccccc1)C(O)c1ccccc1
-7.11,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
-2.92,C=CCc1ccc(OC)cc1
-2.23,CCC1(CC)C(=O)NC(=O)N(C)C1=O
-4.93,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1
-4.8,CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O
-0.807,Cn1ccc(=O)[nH]c1=O
-4.678999999999999,Cc1cccc2c(C)cccc12
-4.45,c1ccc(N=Nc2ccccc2)cc1
0.81,Oc1cccc(O)c1
-3.955,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O
-2.34,CNC(=O)Oc1cccc(N=CN(C)C)c1
-2.33,CCOc1ccccc1
-2.29,O=[N+]([O-])c1cccc([N+](=O)[O-])c1
-2.21,CCC1(C(C)C)C(=O)NC(=O)NC1=O
1.07,O=C1CCCN1
-3.28,CCc1ccccc1CC
-4.26,C=C(C)C1CC=C(C)CC1
-3.592,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1
-3.62,O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21
-6.176,c1cc2ccc3cccc4ccc(c1)c2c34
-2.64,C1CCCC1
-0.44,OC1CCCCC1
-5.0,c1ccc2c(c1)Cc1ccccc1-2
-5.17,Nc1ccc2cc3ccccc3cc2c1
-6.317,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl
-5.16,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-]
-4.37,O=C(Nc1cccc(Cl)c1)OCC#CCCl
-6.96,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
-2.78,COc1cccc(Cl)c1
-1.95,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O
-2.42,Oc1cccc2cccnc12
-0.95,NC(=O)NCc1ccccc1
-2.8310000000000004,O=c1[nH]c2cc(Cl)ccc2o1
-3.483,Cc1ccc(NC(=O)N(C)C)cc1Cl
-3.924,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1
-1.93,OC(c1ccccc1)C(O)c1ccccc1
0.62,Oc1ccccc1O
-3.11,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO
-2.12,Nc1ncnc2nc[nH]c12
-3.21,Clc1cccc(Br)c1
-3.36,CCN1c2nc(N(C)CCO)ccc2NC(=O)c2cccnc21
-5.03,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O
-3.06,O=C1NC(=O)C2(CCCCC2)C(=O)N1
-4.63,c1cc2c3c(cccc3c1)CC2
-1.228,CCC1(C)C(=O)NC(=O)NC1=O
-2.8,Cc1ccccc1C
-4.16,COc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1
-2.86,CCN1C(=O)c2cccnc2N(CC)c2ncccc21
-3.893,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
-1.39,Cn1c(=O)c2[nH]cnc2n(C)c1=O
-2.523,Cn1cnc2c1c(=O)[nH]c(=O)n2C
-8.017000000000001,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
-4.43,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1
-3.04,CCNc1nc(NC(C)C)nc(SC)n1
0.45,Cc1cccc(C)n1
-2.468,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
-5.27,CC(=O)C1(C)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C
-2.154,CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1
-5.886,CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
-1.38,Cc1ccc(O)cc1C
-6.9,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
-4.57,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(O)C3CCC21C
-7.28,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(F)c(Cl)c1F
-2.17,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
-3.931,O=C1NC(=O)C2C3C(C(O)(c4ccccc4)c4ccccn4)=CC(C3=C(c3ccccc3)c3ccccn3)C12
-7.02,Cc1c2ccccc2c(C)c2c1ccc1ccccc12
-6.0,c1ccc2c(c1)-c1cccc3cccc-2c13
-2.82,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
-0.8759999999999999,Cn1c(=O)c2c(ncn2C)n(C)c1=O
-4.0,Cc1cc(C)c(C)c(C)c1C
-1.96,COc1ccccc1[N+](=O)[O-]
-0.7,OCCOc1ccccc1
-5.26,c1ccc2c(c1)ccc1ccccc12
-4.3,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C
-0.85,Cc1cccc(N)c1
-2.35,CCOC(=O)c1ccccc1C(=O)OCC
-2.39,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
-4.37,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C
-3.77,Cc1ccc2ccccc2c1
-6.09,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl
-3.401,Nc1nc(O)nc2nc[nH]c12
-4.71,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
-0.742,COC(=O)c1ccccc1OC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O
-4.328,CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1
-1.85,COc1ccccc1
-8.04,c1ccc2c(c1)Cc1cc3ccccc3cc1-2
-5.46,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1
